"NAME","PERSON_NAME","PERSON_ID"
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett Packard Development Company L.P.",10737012
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett-Packard Development Company, L.P.",9937588
"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","Hewlett-Packard Development Company L.P.",5233187
"OPENWAVE SYSTEMS INC.","Openwave Systems, Inc.",6934471
"BWI COMPANY LIMITED S.A.","BWI Company Limited S.A.",8965760
"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC","Lawrence Livermore National Security, LLC",5221254
"AGRIGENETICS, INC.","Agrigenetics, Inc",8739353
"AGRIGENETICS, INC.","Agrigenetics Inc",8962094
"ETHICON ENDO-SURGERY, INC.","Ethicon Endo-Surgery, Inc.",5213068
"RAMBUS INC.","Rambus, Inc.",10391029
"MOTOROLA MOBILITY, INC","Motorola Mobility, Inc",10944040
"KONINKLIJKE PHILIPS ELECTRONICS N V","KONINKLIJKE PHILIPS ELECTRONICS , N.V.",10459589
"KONINKLIJKE PHILIPS ELECTRONICS N V","Koninklijke Philips Electronics N.V.",7168221
"MONSANTO TECHNOLOGY LLC","Monsanto Technology L.L.C.",5549649
"NETAPP, INC.","NetApp, Inc.",11473751
"NETAPP, INC.","NetApp. Inc.",10815157
"SCIENTIFIC GAMES INTERNATIONAL, INC.","Scientific Games International, Inc.",5315362
"GENZYME CORPORATION","Genzyme Corporation",5497604
"JNC CORPORATION","JNC Corporation",11223416
"ENDURA PRODUCTS, INC.","Endura Products, Inc.",6523315
"MULTIGIG INC.","Multigig Inc.",6208852
"INNOVATIONAL HOLDINGS LLC","Innovational Holdings LLC",5979403
"TELCORDIA LICENSING COMPANY, LLC","Telcordia Licensing Company, LLC",6314032
"SHERWOOD SERVICES AG","Sherwood Services AG",6332317
"BAXTER HEALTHCARE S.A.","BAXTER HEALTHCARE S.A.",5220088
"ZI CORPORATION OF CANADA, INC.","Zi Corporation of Canada, Inc.",7278998
"ZI CORPORATION OF CANADA, INC.","Zi Corporation of Canada, Inc.",5479109
"SHOWA DENKO K.K.","Show a Denko K.K.",7553197
"NEUROCHEM (INTERNATIONAL) LIMITED","Neurochem (International) Limited",9677892
"NEUROCHEM (INTERNATIONAL) LIMITED","Neurochem (International) Limited",5332729
"BRISTOL-MYERS SQUIBB COMPANY","Bristol-Myers Squibb Company",11102032
"MERITOR TECHNOLOGY, INC.","Meritor Technology, Inc.",9877418
"SILICON VALLEY BANK","Silicon Valley Bank",5686916
"LABORATOIRES SERONO SA","Laboratoires Serono SA",8889146
"LABORATOIRES SERONO SA","Laboratoires Serono SA",5872385
"LAKEWOOD-AMEDEX, INC.","Lakewood-Amedex, Inc.",8795153
"SONY CORPORATION","Sony Corporation",10413360
"QWEST COMMUNICATIONS INTERNATIONAL INC.","Qwest Communications International Inc.",5250206
"APPLIED PRECISION, INC.","Applied Precision, Inc",11448588
"TYCO HEALTHCARE GROUP LP","Tyco Healthcare Group LP",5211542
"ABRAXIS BIOSCIENCE, INC.","Abraxis BioScience, Inc.",7731431
"TARQUIN CONSULTING CO., LLC","Tarquin Consulting Co., LLC",5729113
"QIMONDA AG","Qimonda AG",10522408
"NOVARTIS VACCINES AND DIAGNOSTICS, INC.","Novartis Vaccines and Diagnostics Inc.",7754127
"HYDRO-QUEBEC","Hydro Quebec",7761669
"COLD SPRING HARBOR LABORATORY","Cold Spring Harbor Laboratory",5414396
"ELI LILLY AND COMPANY","Eli Lilly and Company",8489286
"QST HOLDINGS, LLC","QST Holdings, LLC",5217955
"DAPHIMO CO. B.V., LLC","Daphimo Co., B.V., LLC",11233084
"UNITED PARCEL SERVICE OF AMERICA, INC.","United Parcel Service of America, Inc.",5296616
"APPLERA CORPORATION","Applera Corporation",5625467
"BROCADE COMMUNICATIONS SYSTEMS, INC.","BROCADE COMMUNICATIONS SYSTEMS, INC.",5693290
"ZACH SYSTEM S.P.A.","Zach System S.p.A.",8986388
"QUALCOMM INCORPORATED","QUALCOMM, Incorporated",5217503
"KYOCERA CORPORATION","Kyocera Corporation",7828682
"KYOCERA CORPORATION","Kyocera Corporation",5512482
"H. LUNDBECK A/S","H. Lundbeck A/S",7309710
"H. LUNDBECK A/S","H. Lundbeck A/S",5427928
"GEORGIA-PACIFIC CONSUMER PRODUCTS LP","Georgia-Pacific Consumer Products LP",5211958
"ZIMMER, INC.","Zimmer, Inc.",9154934
"TERADATA US, INC.","Teradata US, Inc.",6194783
"SIEMENS CORPORATION","Siemens Corporation",5643388
"PHARMACIA CORPORATION","Pharmacia Corporation",5582188
"ABL IP HOLDING LLC","ABL IP Holding LLC",5217140
"AUDI AG","Audi AG",10844157
"AUDI AG","Audi AG",5418118
"AUDI AG","Audi AG",5230482
"AUDI AG","Audi, AG",5210582
"GLAXOSMITHKLINE LLC","GlaxoSmithKline, LLC",6642442
"LANX, LLC","Lanx, LLC",8053777
"SIEMENS HEALTHCARE DIAGNOSTICS INC.","Siemens Healthcare Diagnostics, Inc.",10884103
"SIEMENS HEALTHCARE DIAGNOSTICS INC.","Siemens Healthcare Diagnostics Inc.",6232822
"GLAXO GROUP LIMITED","Glaxo Group Limited",5774731
"GLAXO GROUP LIMITED","Glaxo Group Limited",5223691
"BUSINESS OBJECTS AMERICAS","Business Objects Americas",5997142
"AT&T INTELLECTUAL PROPERTY I, L.P.","AT&T Intellectual Property I, LP",10895242
"AT&T INTELLECTUAL PROPERTY I, L.P.","AT&T Intellectual Property I, L.P.",10018946
"AT&T INTELLECTUAL PROPERTY I, L.P.","AT&T Intellectual Property I L.P.",9134620
"AT&T INTELLECTUAL PROPERTY I, L.P.","AT&T Intellectual Property I, LP.",8981777
"AT&T INTELLECTUAL PROPERTY I, L.P.","AT&T Intellectual Property I, L. P.",6181359
"AT&T INTELLECTUAL PROPERTY I, L.P.","AT&T Intellectual Property I, LP",5372349
"AT&T INTELLECTUAL PROPERTY I, L.P.","AT&T Intellectual Property, I,L.P.",5293754
"ETHICON, INC.","Ethicon, Inc.",5254606
"HENKEL CORPORATION","HENKEL CORPORATION",5211326
"MAQUET CARDIOVASCULAR LLC","MAQUET Cardiovascular LLC",5435118
"SAMSUNG MOBILE DISPLAY CO., LTD.","Samsung Mobile Display Co., Ltd.",10252305
"SAMSUNG MOBILE DISPLAY CO., LTD.","Samsung Mobile Display Co., Ltd.",9368252
"SAMSUNG MOBILE DISPLAY CO., LTD.","Samsung Mobile Display Co., Ltd.",5359826
"ACCENTURE GLOBAL SERVICES LIMITED","Accenture Global Services Limited",5226409
"LAPAROCISION, INC","Laparocision, Inc",6532333
"LAPAROCISION, INC.","Laparocision, Inc",6532333
"AKZO NOBEL N.V.","Akzo Nobel N.V.",5250258
"DEXA SYSTEMS, INC.","Dexa Systems, Inc.",9326020
"BIO-RAD LABORATORIES, INC.","Bio-Rad Laboratories, Inc.",5628693
"MATTEL, INC.","Mattel, Inc",7576946
"JPMORGAN CHASE BANK, N.A.","JP Morgan Chase Bank, NA",10528360
"JPMORGAN CHASE BANK, N.A.","JP Morgan Chase Bank, N.A.",6376587
"ONTARIO INC","Ontario Inc.",9023893
"INTERNATIONAL BUSINESS MACHINES CORPORATION","International Business Machines Corporation",7474182
"INTERNATIONAL BUSINESS MACHINES CORPORATION","International Business Machines Corporation",6572408
"INTERNATIONAL BUSINESS MACHINES CORPORATION","International Business Machines Corporation",5581850
"INTERNATIONAL BUSINESS MACHINES CORPORATION","International Business Machines Corporation",5539068
"EISAI R&D MANAGEMENT CO., LTD.","Eisai R & D Management Co. Ltd.",6661427
"NOVARTIS AG","NovartisAG",10979615
"NOVARTIS AG","Novartis, A.G.",5916127
"AGILENT TECHNOLOGIES, INC.","Agilent Technologies, Inc.",8968678
"AGILENT TECHNOLOGIES, INC.","Agilent Technologies Inc.",6374354
"AGILENT TECHNOLOGIES, INC.","Agilent Technologies, Inc.",5237804
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","The Regents of the University of California;",11111078
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","The Regents of the University of California",7759873
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","The Regents of the University of California",5756934
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","The Regents of the University of California",5511146
"TEKMIRA PHARMACEUTICALS CORPORATION","Tekmira Pharmaceuticals Corporation",6354610
"BASF SE","BASF SE.",7710859
"3M INNOVATIVE PROPERTIES COMPANY","3M Innovative Properties Company",9175939
"3M INNOVATIVE PROPERTIES COMPANY","3M Innovative Properties Company",5212052
"DOVER SYSTEMS, INC.","Dover Systems, Inc.",5254307
"UNITED CONSTRUCTION PRODUCTS, INC.","United Construction Products, Inc.",11299993
"JTEKT CORPORATION","Jtekt Corporation",6649510
"JTEKT CORPORATION","Jtekt Corporation",5996235
"L-1 SECURE CREDENTIALING, INC.","L-1 Secure Credentialing, Inc.",5968998
"ASBU HOLDINGS, LLC","ASBU Holdings, LLC",8263817
"MICRON TECHNOLOGY, INC.","Micron Technology Inc",6382038
"MICRON TECHNOLOGY, INC.","Micron Technology, Inc.",5584740
"TACIT SOFTWARE, INC.","Tacit Software, Inc.",9596487
"ORACLE INTERNATIONAL CORPORATION","Oracle International Corporation",10930780
"ORACLE INTERNATIONAL CORPORATION","Oracle International Corporation",7725755
"ORACLE INTERNATIONAL CORPORATION","Oracle International Corporation",7392815
"GLAXOSMITHKLINE BIOLOGICALS SA","GlaxoSmithKline Biologicals, S.A,.",48490734
"DASH NAVIGATION, INC.","Dash Navigation, Inc.",8528818
"FAURECIA AUTOSITZE GMBH & CO. KG","Faurecia Autositze GmbH & Co., KG.",8519030
"KONAMI CORPORATION","Konami Corporation",7515096
"KONAMI CORPORATION","Konami Corporation",6637607
"KONAMI DIGITAL ENTERTAINMENT CO., LTD.","Konami Digital Entertainment Co., Ltd",9070105
"NESTEC S.A.","Nestec S.A.",7409968
