"NAME","PERSON_NAME","PERSON_ID"
"BAXTER HEALTHCARE S.A.","BAXTER HEALTHCARE S.A.",5220088
"BAXTER HEALTHCARE S.A.","Baxter Healthcare SA",5299494
"THOMSON LICENSING","THOMSON LICENSING",12300206
"THOMSON LICENSING","Thomson Licensing",51380323
"THOMSON LICENSING","Thomson Licensing",11412836
"THOMSON LICENSING","Thomson Licensing",11612921
"THOMAS & BETTS INTERNATIONAL, INC.","Thomas & Betts International, Inc.",52652668
"THE BOEING COMPANY","The Boeing Company",50008106
"HUSQVARNA AB","Husqvarna AB",9002666
"DET INTERNATIONAL HOLDING LIMITED","DET International Holding Limited",6073915
"DET INTERNATIONAL HOLDING LIMITED","DET INTERNATIONAL HOLDING LIMITED",51493371
"CONOCOPHILLIPS COMPANY","ConocoPhillips Company",5225524
"SENSORMATIC ELECTRONICS, LLC","Sensormatic Electronics, LLC.",7780729
"DST OUTPUT WEST, LLC","DST Output West, LLC",11051735
"AGILENT TECHNOLOGIES, INC.","AGILENT TECHNOLOGIES, INC.",47206366
"AGILENT TECHNOLOGIES, INC.","Agilent Technologies, Inc.",5237804
"SCHWEITZER ENGINEERING LABORATORIES, INC.","Schweitzer Engineering Laboratories, Inc",10965026
"TOSHIBA STORAGE DEVICE CORPORATION","Toshiba Storage Device Corporation",5285847
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",10233228
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",53560105
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",5230606
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",6541110
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",5285179
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",5437208
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",11491375
"INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE","Industrial Technology Research Institute",11486918
"BUCYRUS INTERNATIONAL, INC.","Bucyrus International Inc.",45198830
"BUCYRUS MINING EQUIPMENT, INC.","Bucyrus Mining Equipment Inc.",45201630
"AMERICAN MEDICAL INNOVATIONS, L.L.C.","American Medical Innovations, L.L.C.",9655057
"REMY TECHNOLOGIES, L.L.C.","Remy Technologies, L.L.C.",5713456
"REMY TECHNOLOGIES, L.L.C.","Remy Technologies LLC",11231727
"BRUNSWICK CORPORATION","Brunswick Corporation",5224699
"MAHLE INDUSTRIES, INCORPORATED","MAHLE INDUSTRIES, INCORPORATED",42232021
"SKYWORKS SOLUTIONS, INC.","Skyworks Solutions, Inc.",45208334
"SKYWORKS SOLUTIONS, INC.","Skyworks Solutions, Inc.",48404308
"SKYWORKS SOLUTIONS, INC.","Skyworks Solutions, Inc.",5301368
"E. I. DU PONT DE NEMOURS AND COMPANY","E I DUPONT DE NEMOURS AND COMPANY",50012717
"E. I. DU PONT DE NEMOURS AND COMPANY","E. I. du Pont de Nemours and Company",45219264
"E. I. DU PONT DE NEMOURS AND COMPANY","E I du Pont de Nemours and Company",12109407
"E. I. DU PONT DE NEMOURS AND COMPANY","E. I du Pont de Nemours and Company",6478428
"EDWARDS LIMITED","Edwards Limited",7997410
"GS YUASA INTERNATIONAL LTD.","GS Yuasa International, Ltd.",45345521
"GS YUASA INTERNATIONAL LTD.","GS YUASA INTERNATIONAL LTD",11834006
"GS YUASA INTERNATIONAL LTD.","G.S. Yuasa International Ltd.",45211533
"APPLE INC.","Apple Inc.",49986069
"APPLE INC.","Apple Inc.",12356220
"APPLE INC.","Apple Inc.",48407316
"APPLE INC.","Apple Inc.",45197666
"SIEMENS HEALTHCARE DIAGNOSTICS INC.","Siemens Healthcare Diagnostics Inc.",6232822
"SWISHER ACQUISITION, INC.","Swisher Acquisition, Inc.",48484918
"INTELLECTUAL VENTURES II LLC","Intellectual Ventures II L.L.C.",45145548
"QWEST COMMUNICATIONS INTERNATIONAL INC.","Qwest Communications International Inc.",5250206
"RICHWOOD INDUSTRIES, INC.","Richwood Industries Inc.",53649776
"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC","Semiconductor Components Industries, LLC",11231739
"CONTINENTAL AUTOMOTIVE GMBH","CONTINENTAL AUTOMOTIVE GMBH",12470381
"CONTINENTAL AUTOMOTIVE GMBH","Continental Automotive GmbH",5859272
"SIEMENS INDUSTRY, INC.","Siemens Industry, Inc.",10657867
"SIEMENS INDUSTRY, INC.","Siemens Industry, Inc.",10787675
"RENESAS ELECTRONICS CORPORATION","RENESAS ELECTRONICS CORPORATION",11834910
"RENESAS ELECTRONICS CORPORATION","Renesas Electronics Corporation",51451695
